,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,gross
1493,Color,Brian Helgeland,112.0,102.0,241.0,127.0,Mark Addy,13000.0,Action|Mystery|Thriller,Heath Ledger,The Order ,14962,14165,Benno Fürmann,1.0,death|exorcism|heaven|priest|sin eater,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,204.0,English,USA,R,38000000.0,2003.0,891.0,5.1,1.85,704,7659747.0
1263,Color,Mimi Leder,157.0,123.0,75.0,754.0,Haley Joel Osment,18000.0,Drama,Kevin Spacey,Pay It Forward ,95860,23920,Angie Dickinson,2.0,alcoholism|boy|good deed|protective male|teacher,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,660.0,English,USA,PG-13,40000000.0,2000.0,3000.0,7.2,1.85,16000,33508922.0
3924,Color,Oliver Stone,40.0,110.0,0.0,237.0,Zach Grenier,721.0,Drama,Michael Wincott,Talk Radio ,10073,1966,Bill Johnson,0.0,listener|neo nazi|radio|radio station|radio talk show,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,78.0,English,USA,R,4000000.0,1988.0,246.0,7.3,1.85,816,3468572.0
2124,Color,John Curran,138.0,105.0,43.0,827.0,Milla Jovovich,22000.0,Drama|Thriller,Robert De Niro,Stone ,34985,37766,Frances Conroy,1.0,arsonist|blood splatter on face|deception|parole|parole officer,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,135.0,English,USA,R,22000000.0,2010.0,14000.0,5.4,2.35,0,1796024.0
3143,Color,Mark Rosman,65.0,100.0,15.0,804.0,Chris Noth,1000.0,Comedy|Family|Romance,Ben Feldman,The Perfect Man ,23527,4789,Vanessa Lengies,3.0,e mail|moving|perfect man|secret admirer|suitor,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,104.0,English,USA,PG,25000000.0,2005.0,962.0,5.5,1.85,767,16247775.0
323,Color,Steve Martino,208.0,88.0,20.0,36.0,Venus Schultheis,144.0,Adventure|Animation|Comedy|Family,Francesca Capaldi,The Peanuts Movie ,27918,309,Bill Melendez,0.0,dog|girl|imagination|peanuts|red hair,http://www.imdb.com/title/tt2452042/?ref_=fn_tt_tt_1,155.0,English,USA,G,99000000.0,2015.0,42.0,7.2,1.85,33000,130174897.0
3244,Color,Michael Clancy,27.0,85.0,0.0,742.0,Rip Torn,11000.0,Comedy|Drama,Zooey Deschanel,Eulogy ,7690,14656,Kelly Preston,6.0,dysfunctional family|family relationships|family reunion|funeral|twin,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,68.0,English,USA,R,6500000.0,2004.0,826.0,6.7,1.85,376,70527.0
1962,Color,Wes Craven,160.0,107.0,0.0,255.0,Emily Meade,798.0,Horror|Mystery|Thriller,Frank Grillo,My Soul to Take ,16411,2537,Zena Grey,2.0,evil|killer|murder|psychopath|serial killer,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,136.0,English,USA,R,25000000.0,2010.0,374.0,4.8,2.35,0,14637490.0
1652,Color,David Slade,304.0,113.0,171.0,63.0,Mark Rendall,430.0,Horror,Danny Huston,30 Days of Night ,138435,814,Megan Franich,0.0,alaska|small town|snow|vampire|winter,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527.0,English,USA,R,32000000.0,2007.0,72.0,6.6,2.35,0,39568996.0
2325,Color,Nancy Walker,26.0,124.0,42.0,161.0,Randy Jones,801.0,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,2998,1462,Caitlyn Jenner,0.0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,74.0,English,USA,PG,20000000.0,1980.0,174.0,4.5,2.35,1000,2000000.0
1682,Color,Paul Haggis,239.0,133.0,549.0,343.0,Daniel Stern,10000.0,Crime|Drama|Romance|Thriller,Olivia Wilde,The Next Three Days ,146364,11799,Aisha Hinds,0.0,argument|evidence|fingerprints|murder|murder weapon,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,237.0,English,USA,PG-13,35000000.0,2010.0,796.0,7.4,2.35,27000,21129348.0
2991,Color,Jon Poll,146.0,97.0,20.0,442.0,Megan Park,21000.0,Comedy|Drama|Romance,Robert Downey Jr.,Charlie Bartlett ,56654,22577,Hope Davis,5.0,drugs|high school|prescription drugs|private school|student,http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1,124.0,English,USA,R,12000000.0,2007.0,569.0,7.0,1.85,0,3950294.0
3360,Color,Ron Howard,43.0,111.0,2000.0,51.0,Howard Morris,15000.0,Comedy|Fantasy|Romance,Tom Hanks,Splash ,54723,15361,Patrick Cronin,2.0,cmnf|cmnf scene|mermaid|new york city|public nudity,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,99.0,English,USA,PG,8000000.0,1984.0,161.0,6.2,1.85,0,69800000.0
1372,Color,Jennifer Flackett,139.0,96.0,3.0,35.0,Anthony Simcoe,18000.0,Adventure|Comedy|Family|Fantasy,Gerard Butler,Nim's Island ,28109,18178,Christopher James Baker,3.0,author|girl|island|reading|scientist,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,110.0,English,USA,PG,37000000.0,2008.0,82.0,6.0,2.35,0,48006503.0
1264,Color,Bobby Farrelly,124.0,104.0,101.0,223.0,KaDee Strickland,787.0,Comedy|Drama|Romance|Sport,Jimmy Fallon,Fever Pitch ,36223,1827,Ione Skye,1.0,baltimore orioles|boston red sox|promotion|ups|world series,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,208.0,English,USA,PG-13,30000000.0,2005.0,299.0,6.2,2.35,0,42071069.0
275,Color,Ridley Scott,239.0,194.0,0.0,195.0,Orlando Bloom,14000.0,Action|Adventure|Drama|History|War,Liam Neeson,Kingdom of Heaven ,217373,19600,Philip Glenister,1.0,12th century|crusader|jerusalem|knight|medieval times,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1,942.0,English,USA,R,130000000.0,2005.0,5000.0,7.2,2.35,0,47396698.0
1205,Color,Brian Helgeland,216.0,128.0,241.0,898.0,Christopher Meloni,11000.0,Biography|Drama|Sport,Harrison Ford,42 ,66511,16911,Nicole Beharie,0.0,baseball|baseball player|brooklyn dodgers|major league baseball|racism,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,200.0,English,USA,PG-13,40000000.0,2013.0,3000.0,7.5,2.35,28000,95001343.0
1152,Color,Burr Steers,117.0,99.0,23.0,135.0,Charlie Tahan,405.0,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,47364,1066,Valerie Tian,1.0,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,75.0,English,USA,PG-13,44000000.0,2010.0,268.0,6.5,2.35,0,31136950.0
3382,Color,Stephen Gaghan,358.0,128.0,79.0,414.0,Amr Waked,13000.0,Drama|Thriller,Matt Damon,Syriana ,109191,14747,Kayvan Novak,0.0,cia|hezbollah|lebanon|oil|prince,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625.0,English,USA,R,50000000.0,2005.0,903.0,7.0,2.35,0,50815288.0
1705,Color,Andy Cadiff,65.0,101.0,3.0,120.0,Stark Sands,448.0,Comedy|Romance,Annabella Sciorra,Chasing Liberty ,30092,842,Terence Maynard,0.0,first daughter|photographer|prague|president|secret service agent,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129.0,English,USA,PG-13,23000000.0,2004.0,143.0,6.1,2.35,0,12189514.0
4596,Color,John Hamburg,33.0,88.0,29.0,117.0,Michael Lerner,499.0,Comedy|Crime,Harvey Fierstein,Safe Men ,2735,1141,Josh Pais,0.0,gangster|organized crime|robbery|rosh hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,52.0,English,USA,R,1000000.0,1998.0,230.0,6.1,1.85,157,21210.0
4833,Color,Kelly Reichardt,189.0,80.0,129.0,26.0,Lucy,375.0,Drama,John Robinson,Wendy and Lucy ,12241,460,Will Oldham,1.0,car|dog|flip phone|rape threat|vulnerable,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112.0,English,USA,R,200000.0,2008.0,44.0,7.1,1.85,0,856942.0
723,Color,Lawrence Guterman,105.0,87.0,6.0,405.0,Elizabeth Perkins,3000.0,Action|Comedy|Family|Fantasy,Carol Ann Susi,Cats & Dogs ,46031,4171,Miriam Margolyes,0.0,cartoon on tv|cat|dog|scientist|secret agent,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,235.0,English,USA,PG,60000000.0,2001.0,664.0,5.2,1.85,0,93375151.0
258,Color,Rob Letterman,184.0,85.0,11.0,116.0,Catherine Tate,480.0,Adventure|Comedy|Family|Fantasy,James Corden,Gulliver's Travels ,53160,1173,Olly Alexander,1.0,bermuda triangle|box office hit|shipwrecked|travel|travel writer,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1,121.0,English,USA,PG,112000000.0,2010.0,392.0,4.9,2.35,0,42776259.0
3195,Color,Harley Cokeliss,27.0,92.0,4.0,311.0,Tracey Walter,754.0,Action|Drama|Thriller,Cliff Robertson,Malone ,1768,1891,Dennis Burkley,4.0,assassin|box office flop|cia|farmer|power,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,37.0,English,USA,R,10000000.0,1987.0,324.0,5.6,1.85,208,3060858.0
1249,Color,John McTiernan,25.0,106.0,323.0,0.0,José Wilker,472.0,Adventure|Drama|Romance,Lorraine Bracco,Medicine Man ,17443,519,Sean Connery,2.0,cancer|environment|gas chromatograph|jungle|nature,http://www.imdb.com/title/tt0104839/?ref_=fn_tt_tt_1,56.0,English,USA,PG-13,40000000.0,1992.0,47.0,6.0,2.35,694,45500797.0
1516,Color,Simon West,98.0,96.0,165.0,566.0,Mark Valley,12000.0,Action|Crime|Drama|Thriller,Nicolas Cage,Stolen ,36914,14978,Sami Gayle,1.0,bank|money|presumed dead|rescue|thief,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,86.0,English,USA,R,35000000.0,2012.0,774.0,5.5,2.35,0,183125.0
943,Color,Chris Columbus,65.0,124.0,0.0,701.0,Liam Aiken,8000.0,Comedy|Drama,Julia Roberts,Stepmom ,46482,9988,Herbert Russell,2.0,attorney|cancer|custody|fashion photographer|photographer,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,252.0,English,USA,PG-13,50000000.0,1998.0,818.0,6.7,2.35,0,91030827.0
1014,Color,David Cronenberg,356.0,96.0,0.0,509.0,Naomi Watts,10000.0,Crime|Mystery|Thriller,Viggo Mortensen,Eastern Promises ,189249,17211,Raza Jaffrey,1.0,male pubic hair|pubic hair|russian|sex scene|turkish bath,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,398.0,English,USA,R,25000000.0,2007.0,6000.0,7.7,1.85,0,17114882.0
739,Color,Christopher McQuarrie,387.0,130.0,188.0,1000.0,Robert Duvall,10000.0,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,226570,16385,David Oyelowo,2.0,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448.0,English,USA,PG-13,60000000.0,2012.0,3000.0,7.0,2.35,38000,80033643.0
838,Color,Jay Roach,150.0,108.0,116.0,708.0,Blythe Danner,22000.0,Comedy,Robert De Niro,Meet the Parents ,260442,24286,Teri Polo,2.0,cat|cia|jewish|male nurse|nurse,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,507.0,English,USA,PG-13,55000000.0,2000.0,713.0,7.0,1.85,0,166225040.0
157,Color,Dean Parisot,135.0,90.0,23.0,233.0,Richard Burgi,957.0,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,110788,1997,David Herman,1.0,animal abuse|ceo|heist|suburb|unemployment,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,258.0,English,USA,PG-13,100000000.0,2005.0,550.0,6.1,2.35,2000,110332737.0
3780,Color,Paul Schrader,19.0,103.0,261.0,145.0,Jane Adams,722.0,Crime|Drama,Dana Delany,Light Sleeper ,3665,1201,David Clennon,0.0,bare breasts|drugs|existentialism|new york city|redemption,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39.0,English,USA,R,5000000.0,1992.0,280.0,6.8,1.85,247,1100000.0
2790,Color,Rick Famuyiwa,71.0,103.0,44.0,625.0,Lance Gross,953.0,Comedy|Romance,America Ferrera,Our Family Wedding ,5721,3299,Lupe Ontiveros,2.0,california|love|marriage|wedding|wedding dress,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,20.0,English,USA,PG-13,14000000.0,2010.0,849.0,4.9,2.35,1000,20246959.0
2079,Color,Mel Brooks,103.0,96.0,0.0,542.0,Dick Van Patten,1000.0,Adventure|Comedy|Sci-Fi,Joan Rivers,Spaceballs ,136667,2936,Michael Winslow,2.0,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,273.0,English,USA,PG,22700000.0,1987.0,605.0,7.1,1.85,13000,38119483.0
1595, Black and White,Rawson Marshall Thurber,191.0,92.0,43.0,936.0,Stephen Root,989.0,Comedy|Sport,Gary Cole,Dodgeball: A True Underdog Story ,185338,4730,Joel David Moore,0.0,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392.0,English,USA,PG-13,20000000.0,2004.0,939.0,6.7,2.35,0,114324072.0
2820,Color,Jonathan Liebesman,348.0,101.0,473.0,429.0,Danny Woodburn,833.0,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,Teenage Mutant Ninja Turtles ,167089,2690,Jeremy Howard,0.0,18 wheeler|mutant|ninja|sewer|turtle,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,491.0,English,USA,PG-13,125000000.0,2014.0,809.0,5.9,2.35,62000,190871240.0
1654,Color,Jason Friedberg,111.0,86.0,82.0,362.0,Diedrich Bader,869.0,Comedy,Carmen Electra,Meet the Spartans ,88518,3854,Method Man,0.0,king|persian|spartan|training|xerxes,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,409.0,English,USA,PG-13,30000000.0,2008.0,759.0,2.7,1.85,0,38232624.0
3611,Color,Ed Harris,115.0,122.0,0.0,221.0,Bud Cort,697.0,Biography|Drama,John Heard,Pollock ,23023,1517,Amy Madigan,0.0,1940s|artist|drinking|life magazine|painter,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148.0,English,USA,R,6000000.0,2000.0,394.0,7.0,1.85,0,8596914.0
2185,Color,Steve Trenbirth,85.0,72.0,0.0,384.0,Phil Collins,3000.0,Adventure|Animation|Family|Musical,Haley Joel Osment,The Jungle Book 2 ,11634,4480,Tony Jay,0.0,dog|jungle|shot gun|tiger|village,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58.0,English,USA,G,20000000.0,2003.0,455.0,5.4,1.85,227,47887943.0
1924,Color,Andrzej Bartkowiak,109.0,101.0,43.0,432.0,Tom Arnold,5000.0,Action|Crime|Drama|Thriller,Jet Li,Cradle 2 the Grave ,34942,6867,DMX,2.0,camera shot from inside human body|diamond|evil man|heist|terrorism,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,185.0,English,USA,R,30000000.0,2003.0,618.0,5.8,2.35,1000,34604054.0
2564,Color,Peter Kosminsky,103.0,109.0,7.0,450.0,Cole Hauser,835.0,Drama,Patrick Fugit,White Oleander ,25549,2572,Marc Donato,0.0,california|foster home|love|oleander|prison,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,171.0,English,USA,PG-13,16000000.0,2002.0,787.0,7.2,1.85,0,16346122.0
1712,Color,Peter Howitt,123.0,109.0,29.0,91.0,Richard Roundtree,779.0,Action|Crime|Drama|Thriller,Tyler Labine,Antitrust ,25558,1297,Ned Bellamy,2.0,boss|communications|computer|genius|job,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,221.0,English,USA,PG-13,30000000.0,2001.0,240.0,6.1,2.35,0,10965209.0
1164,Color,Mark Pellington,166.0,119.0,89.0,395.0,Will Patton,650.0,Drama|Horror|Mystery|Thriller,Debra Messing,The Mothman Prophecies ,63677,1651,David Eigenberg,0.0,car accident|death of wife|mothman|point pleasant west virginia|urban legend,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,460.0,English,USA,PG-13,32000000.0,2002.0,537.0,6.5,2.35,0,35228696.0
3524,Color,Bob Gosse,52.0,105.0,10.0,184.0,Susie Abromeit,756.0,Comedy,Geoff Stults,I Hope They Serve Beer in Hell ,7412,1417,Derek Wayne Johnson,1.0,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,72.0,English,USA,R,,2009.0,216.0,5.3,2.35,0,1425993.0
1357,Color,Lee Daniels,323.0,109.0,304.0,736.0,Gabourey Sidibe,940.0,Drama,Mo'Nique,Precious ,86955,3277,Mariah Carey,0.0,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,275.0,English,USA,R,10000000.0,2009.0,906.0,7.3,1.85,12000,47536959.0
713,Color,Walt Becker,177.0,100.0,12.0,311.0,Tichina Arnold,419.0,Action|Adventure|Comedy,Jill Hennessy,Wild Hogs ,99989,1412,Drew Sidora,3.0,biker gang|friend|motorcycle|new mexico|road trip,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255.0,English,USA,PG-13,,2007.0,330.0,5.9,2.35,0,168213584.0
515,Color,John Singleton,150.0,107.0,309.0,771.0,Cole Hauser,23000.0,Action|Crime|Thriller,Paul Walker,2 Fast 2 Furious ,191912,25296,Mo Gallini,5.0,bust|racing|shotgun|street racing|undercover agent,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,370.0,English,USA,PG-13,76000000.0,2003.0,787.0,5.9,2.35,0,127083765.0
1154,Color,Phil Lord,375.0,109.0,97.0,839.0,Dax Flame,17000.0,Action|Comedy|Crime,Channing Tatum,21 Jump Street ,408302,19968,Rob Riggle,2.0,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345.0,English,USA,R,42000000.0,2012.0,971.0,7.2,2.35,39000,138447667.0
106,Color,James Bobin,218.0,113.0,33.0,11000.0,Alan Rickman,40000.0,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,21352,80806,Anne Hathaway,1.0,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131.0,English,USA,PG,170000000.0,2016.0,25000.0,6.4,1.85,30000,76846624.0
2716,Color,Gus Van Sant,242.0,106.0,835.0,363.0,Hal Holbrook,13000.0,Drama,Matt Damon,Promised Land ,30284,14544,Terry Kinney,1.0,corporate greed|corporation|natural gas|salesman|small town,http://www.imdb.com/title/tt2091473/?ref_=fn_tt_tt_1,102.0,English,USA,R,15000000.0,2012.0,826.0,6.6,1.85,10000,7556708.0
3290,Color,Danny Leiner,150.0,88.0,8.0,587.0,Fred Willard,982.0,Adventure|Comedy,Ethan Embry,Harold & Kumar Go to White Castle ,155262,3114,Paula Garcés,2.0,marijuana|police|road trip|stoner|white castle,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,316.0,English,USA,R,9000000.0,2004.0,729.0,7.1,1.85,0,18225165.0
1550,Color,Justin Zackham,133.0,89.0,16.0,2000.0,Robert De Niro,49000.0,Comedy,Robin Williams,The Big Wedding ,37493,74181,Topher Grace,8.0,adoption|divorce|family relationships|farce|wedding,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,108.0,English,USA,R,35000000.0,2013.0,22000.0,5.6,2.35,0,21784432.0
2171,Color,Alexander Payne,549.0,115.0,729.0,552.0,Nick Krause,8000.0,Comedy|Drama,Shailene Woodley,The Descendants ,205284,9578,Beau Bridges,0.0,boating accident|daughters|father daughter relationship|hospital|marriage,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,439.0,English,USA,R,20000000.0,2011.0,727.0,7.3,2.35,22000,82624961.0
315,Color,Ron Clements,127.0,95.0,63.0,720.0,Martin Short,23000.0,Adventure|Animation|Family|Sci-Fi,Joseph Gordon-Levitt,Treasure Planet ,71527,26940,Michael Wincott,0.0,alien|cyborg|pirate|planet|treasure,http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1,217.0,English,USA,PG,140000000.0,2002.0,770.0,7.1,1.5,0,38120554.0
40,Color,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0.0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,USA,PG,170000000.0,2010.0,10000.0,6.8,2.35,30000,172051787.0
233,Color,James L. Brooks,168.0,121.0,274.0,157.0,Domenick Lombardozzi,273.0,Comedy|Drama|Romance,Shelley Conn,How Do You Know ,35066,993,Teyonah Parris,4.0,embarrassment|falling in love|love|love triangle|revelation,http://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1,196.0,English,USA,PG-13,120000000.0,2010.0,216.0,5.3,1.85,0,30212620.0
2430,Color,Woody Allen,128.0,94.0,11000.0,975.0,Jon Lovitz,11000.0,Comedy|Crime,Woody Allen,Small Time Crooks ,31169,23283,Michael Rapaport,0.0,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,192.0,English,USA,PG,18000000.0,2000.0,11000.0,6.7,1.85,812,17071230.0
266,Color,Raja Gosnell,125.0,105.0,67.0,40.0,Nancy O'Dell,681.0,Adventure|Animation|Comedy|Family|Fantasy,Jacob Tremblay,The Smurfs 2 ,27257,914,Vanessa Matsui,3.0,based on cartoon|box office hit|no opening credits|sequel|smurf,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1,59.0,English,USA,PG,105000000.0,2013.0,71.0,5.4,1.85,0,71017784.0
3901,Color,Lisa Cholodenko,323.0,106.0,450.0,712.0,Mia Wasikowska,14000.0,Comedy|Drama,Josh Hutcherson,The Kids Are All Right ,110616,18645,Yaya DaCosta,1.0,biological father|college|motorcycle|sperm|sperm donor,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,291.0,English,USA,R,3500000.0,2010.0,3000.0,7.1,1.85,16000,20803237.0
2187,Color,Mennan Yapo,184.0,96.0,9.0,107.0,Amber Valletta,826.0,Drama|Mystery|Thriller,Nia Long,Premonition ,62364,1825,Marc Macaulay,0.0,car|car accident|housewife|sheriff|suburb,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337.0,English,USA,PG-13,20000000.0,2007.0,626.0,5.9,2.35,0,47852604.0
